,0,1
0,9.054734302893022e-05,4.822828149616057e-05
1,-2.495637352659912e-05,2.3502655539689897e-05
2,1.7579020609918942e-06,-4.020863391879852e-06
3,2.182724378778039e-05,-1.7185640942053086e-05
4,-4.22560177202922e-05,-2.0108664254258028e-05
5,1.1063548933074209e-07,-2.0771323481103528e-05
6,-4.769053408947195e-08,-1.2859184200795247e-05
7,-9.398592599371927e-05,-7.1656145474972515e-06
8,5.450744009263015e-05,2.1437831930674433e-07
9,3.216369025747285e-05,4.350354775556356e-06
10,-3.3499006680993905e-05,4.257792191947136e-06
11,-9.188407616391909e-06,-9.600058384993835e-06
12,2.706466731907221e-05,2.501440611557321e-07
13,-1.3998680366686882e-05,-1.2681639747957825e-05
14,-1.3002040754013655e-05,-2.6715149995388727e-05
15,-7.783800529316919e-05,-7.450330503695863e-06
16,2.970423556712519e-05,-1.3346417106284317e-05
17,6.63526546833539e-06,-1.650436978339377e-05
18,1.4700525882877868e-05,3.230033184933036e-06
19,-8.176316995273504e-05,1.6055863696085535e-05
20,8.84141961518867e-05,3.4492232326712164e-05
21,8.266465655686252e-06,2.567902243762245e-05
22,-2.0735853448515777e-05,8.299372596971576e-06
23,0.00010868045247150351,8.144426551374143e-06
24,-2.430950564830049e-06,-1.7348528830705023e-05
25,-7.770074214257534e-05,-2.3989779978025194e-05
26,-2.170467183539594e-05,-4.5997438124599195e-05
27,-0.00012256592847462823,-2.7799089291437812e-05
28,5.62074088037533e-05,-2.723675807773915e-05
29,-2.2307050935101035e-05,-1.2903360160944452e-05
30,-3.977239069059413e-05,-3.0707070698907316e-06
31,5.744326789811207e-05,-2.6857150986051922e-05
32,-8.843432988007322e-05,-3.7402625798730495e-05
33,2.867847882231512e-05,-4.105542685046583e-05
34,-0.00011057345943453921,-3.9127820032244955e-05
35,-3.546634560707105e-05,-1.632652346042887e-05
36,-6.44999997318239e-05,-3.1597528804162633e-06
37,7.830582422949758e-05,1.9980434938537722e-05
38,9.459848761757127e-05,5.049471136599446e-05
39,-1.764394349394745e-05,4.4466719761015414e-05
40,4.5031058150172655e-05,2.1715750102975018e-05
41,-9.640368305611923e-06,-1.9262759784450158e-05
42,3.042633096788614e-05,-2.9191263408165657e-05
43,-4.032320107057229e-05,-4.7351417985058215e-05
44,-9.150146341531429e-05,-3.3031381013886134e-05
45,-9.657693602489585e-05,-1.4129855252000163e-05
46,2.0520637843589517e-05,-1.1826066568316228e-06
47,0.00012038489552640332,2.477616045679162e-05
48,1.4430130975673077e-05,3.768936891564175e-05
49,-2.8098688071210832e-05,5.7010396237905305e-05
50,0.00010241088166607423,4.3011330724197356e-05
51,1.2710278028043562e-05,2.1458362068399503e-05
52,5.4329714319636505e-06,-7.446763111636713e-06
53,1.352847981629899e-05,-1.5515139837138023e-05
54,-7.090340886475702e-06,-2.3870435343201902e-06
55,-1.6576062882477595e-05,-5.211114734200923e-06
56,-7.685900835521896e-05,-1.9494610525290066e-05
57,2.6867814817102623e-05,-1.1450602947052499e-05
58,-5.076329334958122e-06,-1.0988841581725748e-05
59,6.390364845125638e-05,-2.3636682125837114e-06
60,-1.9754525058611997e-05,6.144596482806396e-06
61,-0.00010210831278298248,4.214488614667219e-08
62,-5.3353096230579144e-06,-1.8545272312927596e-06
63,9.10300188000904e-05,-2.6309822424122102e-05
64,-2.0536774424225727e-05,-2.91938461297245e-05
65,-4.766220014304399e-05,-3.077186088479741e-05
66,-6.393075064065118e-05,-2.972546903505645e-05
67,-5.6240631044444235e-05,-4.4013649907649616e-05
68,-1.607887132391736e-05,-4.022295324746086e-05
69,-6.320178577833275e-05,-1.0672646326870278e-05
70,8.021601944809749e-05,1.8651264684814002e-05
71,-1.513840908508448e-05,2.809898052062526e-05
72,5.819385852076806e-06,4.8578976342135924e-05
73,7.703447924446531e-05,4.9109937941024877e-05
74,8.052021773104566e-05,3.6112340682883735e-05
75,-1.1394328341059041e-05,1.823344155523051e-05
76,1.778108614321722e-05,6.13420663711538e-06
77,3.93692353339453e-05,6.440907663604197e-06
78,-1.032965632172137e-05,-5.120458376427306e-06
79,-9.523329893462165e-05,-2.4872313155401723e-06
80,3.5067116579733234e-05,-1.9378948123363415e-07
81,4.7902983522374575e-05,-7.386949170552455e-06
82,2.2255004855402277e-05,-1.531857973353969e-05
83,-4.946657400473514e-05,-7.804818962139806e-06
84,-1.0499545940464864e-05,5.034115915889788e-07
85,-3.1642605208241533e-05,6.400817460782984e-06
86,-1.6053027856920808e-05,1.1488223379342595e-05
87,6.946330845545699e-05,3.8665610984792765e-05
88,8.192680622575875e-05,5.7751603459784066e-05
89,3.585514177762047e-05,4.560417769505236e-05
90,2.9391693059932043e-05,2.2339288259741764e-05
91,3.624136390409332e-05,1.2444513891777554e-05
92,-6.557116922492989e-07,3.845207037851656e-06
93,-4.052659706087169e-06,9.73157895032563e-06
94,-3.608154654121867e-05,1.9467804040262354e-05
95,-2.992352705233887e-06,1.7847937564388665e-05
96,0.00012104648546136453,2.3756184404362112e-05
97,4.654717883267146e-05,1.8207347425601858e-05
98,-1.832435164761226e-05,1.7032903289024358e-05
99,-2.5277169305801392e-05,-4.129822032830079e-06
100,-4.630350877376325e-05,-1.5608489670092923e-05
101,2.005189304580357e-05,-3.4665559065122356e-05
102,2.0971832854371216e-05,-2.548389189584376e-05
103,-7.729597417267468e-05,3.4980442261992424e-06
104,2.6048915428187483e-05,1.7406636617407586e-05
105,-3.0501872015094846e-05,1.8941970339973045e-05
106,7.641753959582342e-05,1.6442840505374782e-05
107,8.400828282002531e-06,2.6047181363316024e-05
108,9.200446372130771e-05,3.416848808579253e-05
109,-2.453799924253348e-05,2.8942262525743706e-05
110,-1.5424815795126066e-05,1.363788281635331e-05
111,1.6058528218933645e-05,1.8184987000744244e-05
112,5.655944824470989e-05,-2.968113157032484e-06
113,3.0312671654686855e-05,-2.962985097488663e-06
114,-6.606163451461961e-05,-1.443673544447851e-06
115,9.817184027388178e-06,4.880531876977859e-07
116,1.2576968031278314e-06,-1.2582517043519713e-05
117,-2.274793424397833e-05,-1.124797991491575e-05
118,-3.400582090787755e-05,-3.990012307279816e-06
119,9.59422427055384e-05,1.4100941252959484e-05
120,-9.388964378783353e-06,3.782798680068903e-05
121,-9.133772698718448e-06,6.008038454214383e-05
122,0.00010724126941816635,0.00010179375555304636
123,0.00012199432195564648,0.00014679802174906746
124,0.00015601516436384067,0.0001854913242202028
125,0.000231365992745631,0.0002192912081588673
126,0.0002294861626302004,0.0002403016008173485
127,0.00022581375341441078,0.00023104979022160938
128,0.00025730190714432877,0.00022603705572385598
129,0.00021806720435164141,0.0002092087512619716
130,0.0001654485735927033,0.0001859444835759253
131,0.00017472389673035954,0.0001766252980267487
132,0.00016312847305174967,0.0001601708790926693
133,0.0002010039790366674,0.00014904655460777925
