Accuracy,Avg loss
89.5%,0.483502
89.8%,0.402714
90.5%,0.379042
89.7%,0.376568
90.4%,0.370455
90.0%,0.359915
92.1%,0.328920
62.9%,0.535284
90.9%,0.326245
91.8%,0.302848
